TO|IN	0
POS	0
RBS	1
WRB	0
XX	3
^CD^NN	1
CC	0
^NNPS	1
NNP	1
^CD	1
^NNP^POS	1
JJS	1
^VB	1
WP	0
JJ	1
^DT^NN	1
^NNS^POS	1
UH|IN	2
MD	0
VBG	1
^DT	0
JJ|RB	1
GW	3
^EX	0
JJR	1
VBN	1
SYM	3
HVS	0
RP	0
^VBP^RP	1
VBD	1
TO	0
RBR	1
^WP	0
^NNS	1
NNS^POS	1
^VB^RP	1
^GW	2
RB	1
PRP$	0
^BES	0
^NN	1
^VBP	1
^CD^NNS	1
NNS	1
EX	0
BES	0
^VBD	1
^UH	2
VB	1
^NNP	1
^PRP^VBP	1
^RB	1
^PDT	0
^IN^NN	1
^VBP^RB	1
^IN^IN	0
IN	0
VBP|VBD	1
NN	1
^IN	0
PRP	0
^NNP^NNP	1
CD	1
PDT	0
^JJS	1
LS	3
^TO	0
^PRP$	0
NNPS	1
WP$	0
^WRB	0
^VBZ	1
UH	2
DT	0
FW	3
^NN^NNS	1
VBP	1
VBZ	1
^RP	0
VBN|VBD	1
^PRP	0
^JJ	1
^VBN	1
WDT	0
^VBG	1
^CC	0
''	3
:	3
``	3